high,medium,low
0.1026566,0.2825759,0.61476755
0.2089359,0.32445768,0.46660647
0.087266885,0.10457665,0.80815643
0.14125267,0.32341072,0.5353366
0.11705481,0.25068066,0.6322645
0.08781125,0.09333433,0.81885445
0.13163744,0.31550178,0.5528608
0.20471571,0.41668725,0.378597
0.18081738,0.31257617,0.50660646
0.105429895,0.25048557,0.6440845
0.0745888,0.08904813,0.8363631
0.11569072,0.2969797,0.58732957
0.13757545,0.3022886,0.5601359
0.089302085,0.10603509,0.8046629
0.09578915,0.11024138,0.79396945
0.09410533,0.18503016,0.72086453
0.16432096,0.3805657,0.45511338
0.067193255,0.079262204,0.8535445
0.1084976,0.20708998,0.6844124
0.16669343,0.3243738,0.5089327
0.10990794,0.280333,0.60975903
0.112749636,0.23953411,0.6477162
0.1422518,0.30115944,0.55658877
0.18518603,0.41581416,0.39899984
0.09146684,0.22056079,0.68797237
0.20976767,0.40194976,0.38828254
0.08447555,0.14201511,0.7735093
0.28313994,0.34229362,0.3745664
0.15330894,0.30940032,0.53729075
0.19884582,0.26538584,0.5357684
0.24770856,0.28881016,0.46348128
0.19064346,0.37599015,0.4333664
0.12734745,0.14677122,0.7258813
0.2527454,0.3883791,0.35887557
0.09116548,0.116063565,0.7927709
0.124889426,0.25612512,0.6189855
0.1374783,0.35266885,0.5098528
0.18419048,0.40514305,0.4106665
0.07238732,0.09304802,0.8345646
0.09434124,0.21395838,0.6917004
0.14356773,0.33808196,0.5183503
0.11694281,0.16122815,0.72182906
0.16740787,0.3365353,0.4960568
0.114469334,0.1363418,0.7491889
0.1397694,0.31681234,0.5434183
0.16488974,0.35659108,0.47851914
0.41512826,0.34160528,0.24326651
0.18165548,0.40579137,0.41255313
0.15185122,0.3054076,0.5427412
0.11874701,0.28375763,0.5974954
0.12137606,0.25988802,0.6187359
0.20920599,0.38908124,0.40171278
0.078794464,0.17392205,0.74728346
0.17501996,0.34416708,0.48081297
0.11930763,0.24831086,0.6323815
0.18758345,0.36384022,0.4485764
0.08353683,0.12419044,0.7922727
0.30801624,0.33117014,0.3608136
0.08884313,0.15618321,0.75497365
0.18270092,0.338647,0.47865206
0.09221749,0.118901476,0.78888106
0.06659476,0.07842687,0.8549783
0.10034743,0.17050122,0.72915137
0.13782522,0.31505147,0.5471233
0.09470336,0.11070427,0.7945924
0.12997952,0.18856795,0.6814525
0.1712423,0.3727534,0.45600426
0.08332547,0.10292568,0.81374884
0.22720061,0.45023924,0.32256016
0.16185188,0.36766663,0.47048151
0.09157935,0.11688756,0.7915331
0.067260176,0.07575016,0.8569896
0.07450697,0.1105335,0.8149595
0.081764124,0.1290496,0.78918624
0.13430823,0.30884817,0.55684364
0.0857631,0.12086181,0.7933751
0.08361496,0.086618856,0.82976615
0.11755302,0.258067,0.62438
0.14254437,0.16841188,0.68904376
0.51803774,0.2906047,0.19135752
0.21998246,0.37119183,0.4088257
0.0731595,0.092612274,0.8342282
0.1950517,0.4062537,0.39869466
0.11629187,0.2590616,0.62464654
0.13347495,0.33704466,0.5294804
0.1424674,0.342594,0.51493865
0.08963551,0.118712686,0.7916518
0.12459316,0.27238712,0.60301965
0.15412079,0.40848374,0.43739545
0.237495,0.40536723,0.35713774
